UID,Machine Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Timestamp
M14882,x1,298.9,309.3,1581,30.7,65,0,No Failure,01/12/2001 22:00
L47203,x_1,299,309.4,1758,105.5,68,0,No Failure,01/12/2001 23:00
M14884,x1,299,309.4,1561,37.3,70,0,No Failure,02/12/2001 00:00
L47205,x_1,299,309.5,1861,23.3,73,0,No Failure,02/12/2001 01:00
L47206,x_1,299.1,309.5,,39,75,0,No Failure,02/12/2001 02:00
H29441,X1,299.1,309.4,1811,24.6,77,0,No Failure,02/12/2001 03:00
L47208,x_1,299.1,309.4,1439,44.2,82,0,No Failure,02/12/2001 04:00
L47209,x_1,299,309.4,1693,30.1,84,0,No Failure,02/12/2001 05:00
M14890,x1,299.1,309.5,1339,128,86,0,No Failure,02/12/2001 06:00
L47211,x_1,299,309.4,1798,105.3,89,0,No Failure,02/12/2001 07:00
L47212,x_1,299,309.4,1419,48.3,91,0,No Failure,02/12/2001 08:00
L47213,x_1,298.9,309.3,1665,32.5,93,0,No Failure,02/12/2001 09:00
M14894,x1,298.8,309.1,1559,34.7,95,0,No Failure,02/12/2001 10:00
M14895,x1,298.8,309.2,1452,48.6,98,0,No Failure,02/12/2001 11:00
M14896,x1,298.9,309.2,1581,36.7,101,0,No Failure,02/12/2001 12:00
L47217,x_1,298.8,309.1,1439,39.2,104,0,No Failure,02/12/2001 13:00
H29452,X1,298.9,309.2,1379,50.7,106,0,No Failure,02/12/2001 14:00
L47219,x_1,298.8,309.1,1350,52.5,111,0,No Failure,02/12/2001 15:00
L47220,x_1,298.8,309.1,1362,45.4,113,0,No Failure,02/12/2001 16:00
L47221,x_1,298.8,309.1,1368,130.6,115,0,No Failure,02/12/2001 17:00
M14902,x1,298.8,309.1,1368,49.1,117,0,No Failure,02/12/2001 18:00
H29457,X1,298.8,309.2,1372,48.5,120,0,No Failure,02/12/2001 19:00
M14904,x1,298.8,309.1,1472,47.5,125,0,No Failure,02/12/2001 20:00
L47225,x_1,298.8,309.1,1489,49.1,128,0,No Failure,02/12/2001 21:00
M14906,x1,298.7,309,1843,25.8,130,0,No Failure,02/12/2001 22:00
L47227,x_1,298.8,309.1,1418,46.3,133,0,No Failure,02/12/2001 23:00
H29462,X1,282.8,309.2,1425,53.9,135,0,No Failure,03/12/2001 00:00
M14909,x1,298.9,309.2,1412,44.1,140,0,No Failure,03/12/2001 01:00
L47230,x_1,298.9,309.1,2861,4.6,143,1,Power Failure,03/12/2001 02:00
L47231,x_1,298.9,309.1,1383,54.9,145,0,No Failure,03/12/2001 03:00
H29466,X1,298.8,309,1497,43.8,147,0,No Failure,03/12/2001 04:00
L47233,x_1,298.7,309,1565,35.1,152,0,No Failure,03/12/2001 05:00
L47234,x_1,298.7,309,1691,30.1,154,0,No Failure,03/12/2001 06:00
L47235,x_1,298.8,309.1,1512,40.7,156,0,No Failure,03/12/2001 07:00
L47236,x_1,298.8,309.1,1477,42.4,158,0,No Failure,03/12/2001 08:00
L47237,x_1,298.8,309.1,1513,40.3,160,0,No Failure,03/12/2001 09:00
M14918,x1,298.8,309,1661,29.5,162,0,No Failure,03/12/2001 10:00
L47239,x_1,298.8,309.1,1378,54.4,165,0,No Failure,03/12/2001 11:00
L47240,x_1,298.8,309.1,1393,52.6,167,0,No Failure,03/12/2001 12:00
M14921,x1,298.8,309,1592,38.2,169,0,No Failure,03/12/2001 13:00
L47242,x_1,298.8,309,1829,22.9,172,0,No Failure,03/12/2001 14:00
M14923,x1,298.9,309,1812,25.9,174,0,No Failure,03/12/2001 15:00
L47244,x_1,283,309.1,1523,38.6,177,0,No Failure,03/12/2001 16:00
L47245,x_1,299,309.1,1394,45.1,179,0,No Failure,03/12/2001 17:00
M14926,x1,298.9,308.9,1679,28.7,181,0,No Failure,03/12/2001 18:00
H29481,X1,298.8,308.9,1466,44.1,184,0,No Failure,03/12/2001 19:00
L47248,x_1,298.8,308.9,1527,32.4,189,0,No Failure,03/12/2001 20:00
L47249,x_1,298.9,309,1410,65.7,191,1,Power Failure,03/12/2001 21:00
M14930,x1,298.9,309,1924,22.6,193,0,No Failure,03/12/2001 22:00
L47251,x_1,298.9,309.1,1452,45.5,196,0,Error,03/12/2001 23:00
L47252,x_1,282.9,309.1,1369,44.4,198,0,No Failure,04/12/2001 00:00
L47253,x_1,299,309.1,1592,35,200,0,No Failure,04/12/2001 01:00
L47254,x_1,282.9,309,1601,32.3,202,0,No Failure,04/12/2001 02:00
L47255,x_1,298.8,308.9,1379,46.7,204,0,No Failure,04/12/2001 03:00
L47256,x_1,298.8,308.9,1461,47.9,206,0,No Failure,04/12/2001 04:00
L47257,x_1,298.8,308.9,1455,41.3,208,1,Tool Wear Failure,04/12/2001 05:00
L47258,x_1,298.8,308.9,1398,51.5,0,0,No Failure,04/12/2001 06:00
L47259,x_1,298.8,308.9,1402,37.9,2,0,No Failure,04/12/2001 07:00
H29494,X1,298.8,308.8,1445,49.9,4,0,No Failure,04/12/2001 08:00
L47261,x_1,298.9,308.9,1450,47.5,9,0,No Failure,04/12/2001 09:00
L47262,x_1,298.9,308.9,1453,40.8,11,0,No Failure,04/12/2001 10:00
L47263,x_1,283,309,1469,40.1,13,0,No Failure,04/12/2001 11:00
L47264,x_1,298.9,308.9,1422,47.6,15,0,No Failure,04/12/2001 12:00
M14945,x1,299,309,1804,26.8,17,0,No Failure,04/12/2001 13:00
H29500,X1,299,309,1436,43.9,20,0,No Failure,04/12/2001 14:00
L47267,x_1,299,309,1544,31.8,25,0,No Failure,04/12/2001 15:00
M14948,x1,299,309,1419,45.2,27,0,No Failure,04/12/2001 16:00
M14949,X2,298.9,308.9,1487,39.5,30,0,No Failure,04/12/2011 17:00
L47270,x_1,282.9,308.9,1753,25.8,33,0,No Failure,04/12/2001 18:00
L47271,X2,298.9,308.9,1830,24.9,35,0,No Failure,04/12/2011 19:00
M14952,x1,298.9,308.9,1727,27.1,37,0,No Failure,04/12/2001 20:00
L47273,x_1,299.1,309,1450,43,40,0,No Failure,04/12/2001 21:00
L47274,x_1,299,308.9,1622,31.9,42,0,No Failure,04/12/2001 22:00
M14955,x1,299,309,1351,52.2,44,0,No Failure,04/12/2001 23:00
M14956,x1,299,309,1575,35.3,47,0,No Failure,05/12/2001 00:00
M14957,x1,298.9,308.9,1750,29.9,50,0,No Failure,05/12/2001 01:00
L47278,x_1,298.9,308.8,1529,32.7,53,0,No Failure,05/12/2001 02:00
L47279,x_1,298.8,308.8,1523,44.4,55,0,No Failure,05/12/2001 03:00
L47280,x_1,298.8,308.9,1852,25,57,0,No Failure,05/12/2001 04:00
L47281,x_1,298.8,308.8,1991,20.7,59,0,No Failure,05/12/2001 05:00
L47282,x_1,298.8,308.8,1555,40.6,61,0,No Failure,05/12/2001 06:00
M14963,x1,282.8,308.8,1441,40.5,63,0,No Failure,05/12/2001 07:00
L47284,x_1,298.8,308.7,1450,43.4,66,0,No Failure,05/12/2001 08:00
L47285,x_1,298.8,308.7,1591,31.1,68,0,No Failure,05/12/2001 09:00
L47286,x_1,298.8,308.7,1445,48.5,70,0,No Failure,05/12/2001 10:00
M14967,x1,298.8,308.8,1497,46.8,72,0,No Failure,05/12/2001 11:00
H29522,X1,298.9,308.8,1621,32.7,75,0,No Failure,05/12/2001 12:00
L47289,x_1,298.9,308.7,1572,34.1,80,0,No Failure,05/12/2001 13:00
L47290,x_1,298.8,308.6,1872,22.5,82,0,No Failure,05/12/2001 14:00
H29525,X1,298.7,308.6,1499,123.3,84,0,No Failure,05/12/2001 15:00
M14972,x1,298.8,308.7,1498,39.5,89,0,No Failure,05/12/2001 16:00
M14973,x1,298.8,308.6,1486,41.9,92,0,No Failure,05/12/2001 17:00
L47294,x_1,298.8,308.6,1680,109.2,95,0,No Failure,05/12/2001 18:00
L47295,x_1,298.8,308.6,1431,45.7,97,0,No Failure,05/12/2001 19:00
L47296,x_1,298.9,308.7,1564,34.1,99,0,No Failure,05/12/2001 20:00
L47297,x_1,298.8,308.6,1599,33,101,0,No Failure,05/12/2001 21:00
M14978,x1,298.8,308.6,1707,28.1,103,0,No Failure,05/12/2001 22:00
L47299,x_1,298.7,308.5,1467,40.7,106,0,No Failure,05/12/2001 23:00
L47300,x_1,298.9,308.7,1433,44.7,108,0,No Failure,06/12/2001 00:00
L47301,x_1,298.9,308.7,1558,41.2,110,0,No Failure,06/12/2001 01:00
L47302,x_1,299,308.8,1310,50.7,112,0,No Failure,06/12/2001 02:00
L47303,x_1,298.9,308.7,1546,43.4,114,0,No Failure,06/12/2001 03:00
L47304,x_1,298.9,308.7,1727,29.4,116,0,No Failure,06/12/2001 04:00
L47305,x_1,298.9,308.6,1560,32.2,118,0,No Failure,06/12/2001 05:00
L47306,x_1,299,308.6,1329,60.5,120,0,No Failure,06/12/2001 06:00
L47307,x_1,298.9,308.6,1413,46.5,122,0,No Failure,06/12/2001 07:00
L47308,x_1,299,308.6,1587,38.6,124,0,No Failure,06/12/2001 08:00
L47309,x_1,298.9,308.5,1559,34.3,126,0,No Failure,06/12/2001 09:00
L47310,x_1,298.8,308.4,1473,41.1,128,0,No Failure,06/12/2001 10:00
L47311,x_1,298.8,308.4,1737,27.7,130,0,No Failure,06/12/2001 11:00
M14992,X2,282.7,308.4,1441,43.2,132,0,No Failure,06/12/2011 12:00
M14993,x1,298.7,308.4,1430,49.6,135,0,No Failure,06/12/2001 13:00
L47314,x_1,298.8,308.4,1369,53,138,0,No Failure,06/12/2001 14:00
M14995,x1,298.8,308.5,1711,108.3,140,0,No Failure,06/12/2001 15:00
H29550,X1,298.7,308.5,1420,45.7,143,0,No Failure,06/12/2001 16:00
L47317,x_1,298.7,308.6,1297,55.3,148,0,No Failure,06/12/2001 17:00
H29552,X1,298.8,308.6,1449,49.4,150,0,No Failure,06/12/2001 18:00
L47319,x_1,298.8,308.6,1268,55.8,155,0,No Failure,06/12/2001 19:00
L47320,x_1,298.8,308.6,1511,36.1,157,0,No Failure,06/12/2001 20:00
L47321,x_1,298.7,308.5,1544,35.2,159,0,No Failure,06/12/2001 21:00
M15002,x1,298.6,308.4,1778,28.2,161,0,Error,06/12/2001 22:00
H29557,X1,298.6,308.4,1407,50.5,164,0,No Failure,06/12/2001 23:00
M15004,x1,298.6,308.4,1391,42.4,169,0,No Failure,07/12/2001 00:00
L47325,x_1,298.5,308.4,1513,33.6,172,0,No Failure,07/12/2001 01:00
H29560,X1,298.5,308.4,1612,36.1,174,0,No Failure,07/12/2001 02:00
L47327,x_1,298.4,308.4,1515,40.1,179,0,No Failure,07/12/2001 03:00
M15008,x1,298.3,308.3,1379,48,181,0,No Failure,07/12/2001 04:00
L47329,x_1,298.4,308.3,1473,39.9,184,0,No Failure,07/12/2001 05:00
L47330,x_1,298.4,308.3,1422,42.7,186,0,No Failure,07/12/2001 06:00
M15011,x1,298.4,308.2,1463,37.6,188,0,No Failure,07/12/2001 07:00
M15012,x1,298.4,308.2,1584,41,191,0,No Failure,07/12/2001 08:00
L47333,x_1,298.4,308.2,1850,27,194,0,No Failure,07/12/2001 09:00
L47334,x_1,298.4,308.2,1528,36.2,196,0,No Failure,07/12/2001 10:00
H29569,X1,298.4,308.2,1987,19.8,198,0,No Failure,07/12/2001 11:00
M15016,x1,298.4,308.1,1495,46,203,0,No Failure,07/12/2001 12:00
H29571,X1,298.4,308.2,1478,43.5,206,0,No Failure,07/12/2001 13:00
M15018,x1,298.4,308.2,1499,40,211,0,No Failure,07/12/2001 14:00
L47339,x_1,282.4,308.2,1471,47,214,0,No Failure,07/12/2001 15:00
L47340,x_1,298.4,308.2,1282,60.7,216,1,Overstrain Failure,07/12/2001 16:00
L47341,x_1,298.3,308.1,1412,52.3,218,1,Overstrain Failure,07/12/2001 17:00
L47342,x_1,298.3,308.1,1586,35.5,0,0,No Failure,07/12/2001 18:00
M15023,X2,298.4,308.2,1468,43.8,2,0,No Failure,07/12/2011 19:00
M15024,x1,282.5,308.3,1440,43.6,5,0,No Failure,07/12/2001 20:00
L47345,x_1,298.5,308.4,1733,26,8,0,No Failure,07/12/2001 21:00
H29580,X1,298.4,308.2,1612,32.6,10,0,No Failure,07/12/2001 22:00
H29581,X1,298.4,308.3,1458,42.9,15,0,No Failure,07/12/2001 23:00
L47348,x_1,298.4,308.3,1433,142.1,20,1,Power Failure,08/12/2001 00:00
L47349,x_1,298.4,308.3,1318,59.1,22,0,No Failure,08/12/2001 01:00
M15030,x1,298.4,308.2,1610,35,24,0,No Failure,08/12/2001 02:00
L47351,x_1,282.2,308.1,1462,50.8,27,0,No Failure,08/12/2001 03:00
M15032,x1,298.1,308,1924,20.8,29,0,No Failure,08/12/2001 04:00
M15033,x1,298.2,308,1591,33.7,32,0,No Failure,08/12/2001 05:00
L47354,x_1,298.2,308.1,1306,58.3,35,0,No Failure,08/12/2001 06:00
L47355,x_1,298.2,308.1,1382,43.5,37,0,No Failure,08/12/2001 07:00
L47356,x_1,298.2,308.1,1618,34.7,39,0,No Failure,08/12/2001 08:00
L47357,x_1,298.2,308.2,1988,21.4,41,0,No Failure,08/12/2001 09:00
L47358,x_1,298.2,308.2,1436,50.2,43,0,No Failure,08/12/2001 10:00
L47359,x_1,298.2,308.3,1304,129.6,45,0,No Failure,08/12/2001 11:00
L47360,x_1,298.2,308.3,1475,49.9,47,0,No Failure,08/12/2001 12:00
H29595,X2,298.2,308.3,1824,24.2,49,0,No Failure,08/12/2011 13:00
M15042,x1,298.1,308.2,1342,207.7,54,0,No Failure,08/12/2001 14:00
L47363,x_1,298.1,308.2,1485,40.7,57,0,No Failure,08/12/2001 15:00
L47364,x_1,298.2,308.2,1667,30.6,59,0,No Failure,08/12/2001 16:00
L47365,x_1,298.2,308.2,1446,38.2,61,0,No Failure,08/12/2001 17:00
L47366,x_1,298.1,308.3,,56,63,0,No Failure,08/12/2001 18:00
L47367,x_1,298.2,308.4,1379,43.1,65,0,No Failure,08/12/2001 19:00
L47368,x_1,298.3,308.5,1606,113.4,67,0,No Failure,08/12/2001 20:00
M15049,x1,298.3,308.4,1539,43.4,69,0,No Failure,08/12/2001 21:00
L47370,x_1,298.2,308.4,1477,49.9,72,0,No Failure,08/12/2001 22:00
L47371,x_1,298.2,308.4,1666,34.6,74,0,No Failure,08/12/2001 23:00
H29606,X1,298.2,308.4,1398,51.8,76,0,No Failure,09/12/2001 00:00
H29607,X1,298.2,308.4,1678,34.6,81,0,No Failure,09/12/2001 01:00
M15054,x1,298.2,308.5,2678,10.7,86,1,Power Failure,09/12/2001 02:00
L47375,x_1,298.3,308.5,1453,42.9,89,0,No Failure,09/12/2001 03:00
H29610,X1,298.3,308.6,1432,49.5,91,0,No Failure,09/12/2001 04:00
M15057,x1,298.4,308.6,1527,40.9,96,0,No Failure,09/12/2001 05:00
L47378,x_1,298.4,308.7,1588,35,99,0,No Failure,09/12/2001 06:00
L47379,x_1,298.4,308.6,1433,47.1,101,0,No Failure,09/12/2001 07:00
L47380,x_1,298.4,308.6,1609,35,103,0,No Failure,09/12/2001 08:00
L47381,x_1,298.3,308.5,1575,41.2,105,0,No Failure,09/12/2001 09:00
M15062,x1,298.4,308.5,1636,35.7,107,0,No Failure,09/12/2001 10:00
L47383,x_1,298.4,308.5,1490,37.9,110,0,No Failure,09/12/2001 11:00
L47384,x_1,298.4,308.5,1741,32.8,112,0,No Failure,09/12/2001 12:00
M15065,x1,298.5,308.6,1344,53,114,0,No Failure,09/12/2001 13:00
L47386,x_1,298.5,308.7,1609,35.3,117,0,No Failure,09/12/2001 14:00
M15067,x1,298.4,308.7,1421,60.7,119,1,Power Failure,09/12/2001 15:00
L47388,x_1,298.4,308.6,1591,36.7,122,0,No Failure,09/12/2001 16:00
L47389,x_1,298.4,308.6,1477,44,124,0,No Failure,09/12/2001 17:00
L47390,x_1,298.4,308.7,1523,36.1,126,0,No Failure,09/12/2001 18:00
L47391,x_1,298.5,308.7,1575,33.9,128,0,No Failure,09/12/2001 19:00
H29626,X1,298.4,308.7,1344,52.9,130,0,No Failure,09/12/2001 20:00
L47393,x_1,298.4,308.7,1386,44.9,135,0,No Failure,09/12/2001 21:00
M15074,x1,298.3,308.6,1589,37.1,137,0,No Failure,09/12/2001 22:00
L47395,x_1,298.3,308.6,1548,40.3,140,0,No Failure,09/12/2001 23:00
L47396,x_1,298.3,308.6,1499,38.3,142,0,Error,10/12/2001 00:00
L47397,x_1,298.3,308.5,1664,31.6,144,0,No Failure,10/12/2001 01:00
L47398,x_1,298.3,308.6,1447,117.9,146,0,No Failure,10/12/2001 02:00
M15079,x1,298.3,308.5,1434,46.2,148,0,No Failure,10/12/2001 03:00
L47400,x_1,298.3,308.5,1416,52.7,151,0,No Failure,10/12/2001 04:00
H29635,X1,298.4,308.5,1827,24.3,153,0,No Failure,10/12/2001 05:00
L47402,x_1,298.4,308.6,1304,45,158,0,No Failure,10/12/2001 06:00
L47403,x_1,298.4,308.6,1569,34.4,160,0,No Failure,10/12/2001 07:00
L47404,x_1,298.3,308.6,1584,29.3,162,0,No Failure,10/12/2001 08:00
L47405,x_1,298.3,308.5,1362,53.8,164,0,No Failure,10/12/2001 09:00
L47406,x_1,298.3,308.4,1329,49.2,166,0,No Failure,10/12/2001 10:00
L47407,x_1,298.3,308.5,1539,36.1,168,0,No Failure,10/12/2001 11:00
M15088,x1,298.3,308.5,1629,37.1,170,0,No Failure,10/12/2001 12:00
L47409,x_1,282.3,308.5,1538,32.2,173,0,No Failure,10/12/2001 13:00
L47410,x_1,298.3,308.6,1570,34.8,175,0,No Failure,10/12/2001 14:00
L47411,x_1,298.3,308.4,1408,43.1,177,0,No Failure,10/12/2001 15:00
L47412,x_1,298.2,308.4,1424,47.6,179,0,No Failure,10/12/2001 16:00
L47413,x_1,282.2,308.4,1512,34.9,181,0,No Failure,10/12/2001 17:00
L47414,x_1,298.2,308.4,1478,42.9,183,0,No Failure,10/12/2001 18:00
M15095,x1,298.1,308.3,1680,33.7,185,0,No Failure,10/12/2001 19:00
L47416,x_1,298.1,308.3,1495,38.7,188,0,No Failure,10/12/2001 20:00
M15097,x1,298,308.1,1552,36.6,190,0,No Failure,10/12/2001 21:00
L47418,x_1,297.9,308.1,1393,50.3,193,0,No Failure,10/12/2001 22:00
L47419,x_1,298,308.2,1611,30.6,195,0,No Failure,10/12/2001 23:00
M15100,x1,298,308.1,1339,51.6,197,0,No Failure,11/12/2001 00:00
L47421,x_1,282,308.1,1777,24.3,200,0,No Failure,11/12/2001 01:00
L47422,x_1,298,308.2,1348,58.8,202,1,Overstrain Failure,11/12/2001 02:00
L47423,x_1,298,308.2,1442,44.1,204,0,No Failure,11/12/2001 03:00
M15104,x1,298,308.2,1395,49.1,206,0,No Failure,11/12/2001 04:00
M15105,x1,297.9,308.1,1627,31.4,209,0,No Failure,11/12/2001 05:00
L47426,x_1,297.9,308.1,1585,113.3,212,0,No Failure,11/12/2001 06:00
L47427,x_1,298,308.2,1469,45.5,214,0,No Failure,11/12/2001 07:00
L47428,x_1,298,308.3,1362,56.8,216,1,Overstrain Failure,11/12/2001 08:00
L47429,x_1,298,308.3,1405,56.2,218,1,Overstrain Failure,11/12/2001 09:00
L47430,x_1,298,308.3,1662,32.7,0,0,No Failure,11/12/2001 10:00
M15111,x1,298,308.2,1466,42.6,2,0,No Failure,11/12/2001 11:00
L47432,x_1,298,308.2,1620,35.8,5,0,No Failure,11/12/2001 12:00
L47433,x_1,298,308.2,1357,48.2,7,0,No Failure,11/12/2001 13:00
L47434,x_1,298,308.2,1514,117.7,9,0,No Failure,11/12/2001 14:00
L47435,x_1,298,308.2,1489,40.4,11,0,No Failure,11/12/2001 15:00
L47436,x_1,298.1,308.3,1331,63,13,0,No Failure,11/12/2001 16:00
L47437,x_1,298,308,1615,109.3,15,0,No Failure,11/12/2001 17:00
L47438,x_1,298.1,308.2,1482,37.9,17,0,No Failure,11/12/2001 18:00
M15119,x1,298.1,308.2,1420,63.9,19,1,Power Failure,11/12/2001 19:00
M15120,x1,298.2,308.3,1522,49.1,22,0,No Failure,11/12/2001 20:00
L47441,x_1,298.1,308.2,1654,32.1,25,0,No Failure,11/12/2001 21:00
M15122,x1,298.1,308.2,1736,26.8,27,0,No Failure,11/12/2001 22:00
M15123,x1,298,308.1,1587,112.1,30,0,No Failure,11/12/2001 23:00
L47444,x_1,298.1,308.2,1390,47.5,33,0,No Failure,12/12/2001 00:00
L47445,x_1,298,308.1,1454,37.1,35,0,No Failure,12/12/2001 01:00
H29680,X1,298,308.1,1440,43.7,37,0,No Failure,12/12/2001 02:00
L47447,x_1,297.9,308,1954,21.1,42,0,No Failure,12/12/2001 03:00
H29682,X1,297.9,308,1800,24.8,44,0,No Failure,12/12/2001 04:00
L47449,x_1,298,308,1524,37,49,0,No Failure,12/12/2001 05:00
H29684,X1,298,308,1520,39.6,51,0,No Failure,12/12/2001 06:00
M15131,x1,298.1,308.1,1452,40.8,56,0,No Failure,12/12/2001 07:00
L47452,x_1,298.1,308.1,1484,40.4,59,0,No Failure,12/12/2001 08:00
L47453,x_1,298.1,308,1426,46,61,0,No Failure,12/12/2001 09:00
L47454,x_1,298.1,308,1652,28.5,63,0,No Failure,12/12/2001 10:00
L47455,x_1,298,308,1401,134.5,65,0,No Failure,12/12/2001 11:00
M15136,x1,298,307.9,1750,26.6,67,0,No Failure,12/12/2001 12:00
H29691,X1,298,308,1479,50.7,70,0,No Failure,12/12/2001 13:00
M15138,x1,298,308,1620,29.4,75,0,No Failure,12/12/2001 14:00
L47459,X2,298,308.1,1819,23.4,78,0,No Failure,12/12/2011 15:00
M15140,x1,298.1,308.1,1456,43.7,80,0,No Failure,12/12/2001 16:00
L47461,x_1,298.1,308,1626,36.5,83,0,No Failure,12/12/2001 17:00
M15142,x1,298.1,308.1,1390,49.8,85,0,No Failure,12/12/2001 18:00
L47463,x_1,298.2,308.2,1469,43,88,0,No Failure,12/12/2001 19:00
L47464,x_1,298.2,308.3,2051,19.2,90,0,No Failure,12/12/2001 20:00
L47465,x_1,298.2,308.3,1568,36,92,0,No Failure,12/12/2001 21:00
L47466,x_1,298.2,308.3,1589,33.2,94,0,No Failure,12/12/2001 22:00
L47467,x_1,298.2,308.3,1805,31.6,96,0,No Failure,12/12/2001 23:00
H29702,X1,298.2,308.4,1385,122,98,0,No Failure,13/12/2001 00:00
L47469,x_1,298.1,308.4,1436,46.7,103,0,No Failure,13/12/2001 01:00
L47470,x_1,298.1,308.4,1438,125.4,105,0,No Failure,13/12/2001 02:00
L47471,x_1,298,308.3,1473,42.6,107,0,No Failure,13/12/2001 03:00
L47472,x_1,298.1,308.4,1335,40.2,109,0,No Failure,13/12/2001 04:00
H29707,X1,298.1,308.5,1392,44.8,111,0,No Failure,13/12/2001 05:00
M15154,x1,298.1,308.5,1372,51.1,116,0,No Failure,13/12/2001 06:00
M15155,x1,298.1,308.6,1716,30.7,119,0,No Failure,13/12/2001 07:00
L47476,x_1,298,308.5,1395,46.2,122,0,No Failure,13/12/2001 08:00
L47477,x_1,298,308.5,1713,25.3,124,0,No Failure,13/12/2001 09:00
H29712,X1,297.9,308.5,2129,18.7,126,0,No Failure,13/12/2001 10:00
M15159,x1,297.8,308.3,1567,35.6,131,0,No Failure,13/12/2001 11:00
L47480,x_1,297.8,308.4,1622,38.3,134,0,No Failure,13/12/2001 12:00
L47481,x_1,297.7,308.4,1740,27.1,136,0,No Failure,13/12/2001 13:00
H29716,X1,297.8,308.4,1512,35.1,138,0,No Failure,13/12/2001 14:00
M15163,x1,297.8,308.4,1479,43.5,143,0,No Failure,13/12/2001 15:00
L47484,x_1,297.8,308.4,1737,27.5,146,0,No Failure,13/12/2001 16:00
L47485,x_1,297.8,308.4,2129,19.2,148,0,No Failure,13/12/2001 17:00
L47486,x_1,281.8,308.4,1374,47.1,150,0,No Failure,13/12/2001 18:00
M15167,x1,297.8,308.4,1579,36.6,152,0,No Failure,13/12/2001 19:00
L47488,x_1,297.9,308.5,1305,47.2,155,0,No Failure,13/12/2001 20:00
M15169,x1,297.9,308.5,1449,40.8,157,0,No Failure,13/12/2001 21:00
H29724,X1,298,308.6,,41.8,160,0,No Failure,13/12/2001 22:00
M15171,x1,298,308.6,1453,44.1,165,0,No Failure,13/12/2001 23:00
L47492,x_1,297.9,308.6,1468,36,168,0,No Failure,14/12/2001 00:00
L47493,x_1,298,308.6,1313,50.8,170,0,No Failure,14/12/2001 01:00
M15174,x1,297.9,308.5,1300,53,172,0,No Failure,14/12/2001 02:00
L47495,x_1,297.9,308.4,1646,40.6,175,0,No Failure,14/12/2001 03:00
L47496,x_1,297.8,308.4,1714,33.2,177,0,No Failure,14/12/2001 04:00
L47497,x_1,297.8,308.4,1685,28.4,179,0,No Failure,14/12/2001 05:00
L47498,x_1,297.8,308.4,1512,119.7,181,0,No Failure,14/12/2001 06:00
L47499,x_1,297.8,308.4,1612,32.1,183,0,No Failure,14/12/2001 07:00
H29734,X1,297.8,308.4,1550,38.2,185,0,No Failure,14/12/2001 08:00
L47501,x_1,297.8,308.4,1518,32.5,190,0,No Failure,14/12/2001 09:00
L47502,x_1,297.8,308.5,1448,40,192,0,No Failure,14/12/2001 10:00
L47503,x_1,281.8,308.5,1561,46.3,194,0,No Failure,14/12/2001 11:00
M15184,x1,297.8,308.5,1488,41.9,196,0,No Failure,14/12/2001 12:00
L47505,x_1,297.8,308.5,1699,27.8,199,0,No Failure,14/12/2001 13:00
L47506,x_1,297.7,308.5,1501,41.4,201,0,No Failure,14/12/2001 14:00
L47507,x_1,297.7,308.5,1373,56.7,203,1,Overstrain Failure,14/12/2001 15:00
H29742,X1,297.6,308.4,1703,31.4,205,0,No Failure,14/12/2001 16:00
H29743,X1,297.7,308.5,1720,29.9,210,0,Error,14/12/2001 17:00
